country_code,name,imf2003
AND,Andorra,Advanced countries
CHN,China,Developing countries
ATG,Antigua and Barbuda,Developing countries
ARG,Argentina,Developing countries
AUS,Australia,Advanced countries
AUT,Austria,Advanced countries
IND,India,Developing countries
BHS,Bahamas,Developing countries
BHR,Bahrain,Developing countries
BRB,Barbados,Developing countries
BEL,Belgium,Advanced countries
BRN,Brunei,Developing countries
ALB,Albania,Transition countries
BRA,Brazil,Developing countries
CAN,Canada,Advanced countries
CHL,Chile,Developing countries
ARM,Armenia,Transition countries
TUR,Turkey,Developing countries
HRV,Croatia,Transition countries
CYP,Cyprus,Advanced countries
IRN,Iran,Developing countries
CZE,Czechia,Transition countries
DNK,Denmark,Advanced countries
EST,Estonia,Transition countries
FIN,Finland,Advanced countries
MEX,Mexico,Developing countries
AZE,Azerbaijan,Transition countries
FRA,France,Advanced countries
DEU,Germany,Advanced countries
GRC,Greece,Advanced countries
HKG,Hong Kong,Advanced countries
ZAF,South Africa,Developing countries
HUN,Hungary,Transition countries
ISL,Iceland,Advanced countries
MYS,Malaysia,Developing countries
IRL,Ireland,Advanced countries
ISR,Israel,Advanced countries
EGY,Egypt,Developing countries
ITA,Italy,Advanced countries
BLR,Belarus,Transition countries
JPN,Japan,Advanced countries
BIH,Bosnia and Herzegovina,Transition countries
THA,Thailand,Developing countries
PAK,Pakistan,Developing countries
KWT,Kuwait,Developing countries
BGR,Bulgaria,Transition countries
LVA,Latvia,Transition countries
LIE,Liechtenstein,Advanced countries
COL,Colombia,Developing countries
LTU,Lithuania,Transition countries
NGA,Nigeria,Developing countries
GEO,Georgia,Transition countries
TUN,Tunisia,Developing countries
IDN,Indonesia,Developing countries
LUX,Luxembourg,Advanced countries
DZA,Algeria,Developing countries
MAR,Morocco,Developing countries
KAZ,Kazakhstan,Transition countries
VNM,Vietnam,Developing countries
CUB,Cuba,Developing countries
BGD,Bangladesh,Developing countries
MLT,Malta,Developing countries
JOR,Jordan,Developing countries
VEN,Venezuela,Developing countries
KGZ,Kyrgyzstan,Transition countries
KEN,Kenya,Developing countries
MCO,Monaco,Advanced countries
PHL,Philippines,Developing countries
LBN,Lebanon,Developing countries
PER,Peru,Developing countries
ETH,Ethiopia,Developing countries
NLD,Netherlands,Advanced countries
IRQ,Iraq,Developing countries
NZL,New Zealand,Advanced countries
NOR,Norway,Advanced countries
OMN,Oman,Developing countries
PLW,Palau,Developing countries
GHA,Ghana,Developing countries
PAN,Panama,Developing countries
TZA,Tanzania,Developing countries
UGA,Uganda,Developing countries
POL,Poland,Transition countries
CMR,Cameroon,Developing countries
MKD,Macedonia,Transition countries
MDA,Moldova,Transition countries
MNG,Mongolia,Transition countries
LKA,Sri Lanka,Developing countries
PRT,Portugal,Advanced countries
ECU,Ecuador,Developing countries
MNE,Montenegro,Transition countries
NPL,Nepal,Developing countries
CRI,Costa Rica,Developing countries
QAT,Qatar,Developing countries
SEN,Senegal,Developing countries
ROU,Romania,Transition countries
RUS,Russia,Transition countries
ZWE,Zimbabwe,Developing countries
SDN,Sudan,Developing countries
MWI,Malawi,Developing countries
SYR,Syria,Developing countries
KNA,Saint Kitts and Nevis,Developing countries
BFA,Burkina Faso,Developing countries
BWA,Botswana,Developing countries
PSE,Palestine,Developing countries
SRB,Serbia,Transition countries
CIV,Cote d'Ivoire,Developing countries
ZMB,Zambia,Developing countries
SMR,San Marino,Advanced countries
SAU,Saudi Arabia,Developing countries
BEN,Benin,Developing countries
SYC,Seychelles,Developing countries
JAM,Jamaica,Developing countries
COG,Congo,Developing countries
BOL,Bolivia,Developing countries
MDG,Madagascar,Developing countries
LBY,Libya,Developing countries
YEM,Yemen,Developing countries
SGP,Singapore,Advanced countries
SVK,Slovakia,Transition countries
KHM,Cambodia,Developing countries
MOZ,Mozambique,Developing countries
MLI,Mali,Developing countries
SVN,Slovenia,Transition countries
TJK,Tajikistan,Transition countries
FJI,Fiji,Developing countries
NAM,Namibia,Developing countries
GTM,Guatemala,Developing countries
RWA,Rwanda,Developing countries
GAB,Gabon,Developing countries
LAO,Laos,Developing countries
MUS,Mauritius,Developing countries
GMB,Gambia,Developing countries
PNG,Papua New Guinea,Developing countries
MMR,Myanmar,Developing countries
NER,Niger,Developing countries
TKM,Turkmenistan,Transition countries
KOR,South Korea,Advanced countries
PRY,Paraguay,Developing countries
TGO,Togo,Developing countries
ESP,Spain,Advanced countries
NIC,Nicaragua,Developing countries
GRD,Grenada,Developing countries
UKR,Ukraine,Transition countries
DOM,Dominican Republic,Developing countries
SLV,El Salvador,Developing countries
SWZ,Swaziland,Developing countries
SWE,Sweden,Advanced countries
HND,Honduras,Developing countries
AFG,Afghanistan,Developing countries
HTI,Haiti,Developing countries
AGO,Angola,Developing countries
GIN,Guinea,Developing countries
SLE,Sierra Leone,Developing countries
COD,Democratic Republic Congo,Developing countries
BTN,Bhutan,Developing countries
PRK,North Korea,Developing countries
CAF,Central African Republic,Developing countries
CHE,Switzerland,Advanced countries
MRT,Mauritania,Developing countries
LSO,Lesotho,Developing countries
GNB,Guinea-Bissau,Developing countries
GUY,Guyana,Developing countries
ERI,Eritrea,Developing countries
TWN,Taiwan,Advanced countries
TCD,Chad,Developing countries
BDI,Burundi,Developing countries
TTO,Trinidad and Tobago,Developing countries
LBR,Liberia,Developing countries
VUT,Vanuatu,Developing countries
BLZ,Belize,Developing countries
SLB,Solomon Islands,Developing countries
SUR,Suriname,Developing countries
DMA,Dominica,Developing countries
CPV,Cape Verde,Developing countries
WSM,Samoa,Developing countries
MDV,Maldives,Developing countries
UZB,Uzbekistan,Transition countries
FSM,Micronesia,Developing countries
DJI,Djibouti,Developing countries
ARE,United Arab Emirates,Developing countries
GBR,United Kingdom,Advanced countries
USA,United States,Advanced countries
GNQ,Equatorial Guinea,Developing countries
TLS,Timor-Leste,Developing countries
URY,Uruguay,Developing countries
SOM,Somalia,Developing countries
TON,Tonga,Developing countries
COM,Comoros,Developing countries
LCA,Saint Lucia,Developing countries
VCT,Saint Vincent and the Grenadines,Developing countries
MHL,Marshall Islands,Developing countries
KIR,Kiribati,Developing countries
STP,Sao Tome and Principe,Developing countries
TUV,Tuvalu,Developing countries
NRU,Nauru,Developing countries
