Country,Documents,localDocs,localShare
Finland,44916,340.0,0.007569685635408318
Sweden,93135,1107.0,0.011885971976163633
Austria,54210,667.0,0.012304002951484965
Denmark,62937,966.0,0.015348682015348681
Norway,46791,820.0,0.017524737663225834
Ireland,30126,565.0,0.018754564163845185
Greece,39375,953.0,0.0242031746031746
Belgium,76625,1915.0,0.02499184339314845
Netherlands,135335,3412.0,0.0252115121734954
Switzerland,104728,3008.0,0.028722022763730808
Portugal,52438,1519.0,0.028967542621762845
Italy,242351,15344.0,0.0633131284789417
United Kingdom,425023,27116.0,0.06379890029480757
Slovakia,17213,1689.0,0.09812351129959913
France,263808,28080.0,0.1064410480349345
Germany,374663,40226.0,0.1073658194163822
Slovenia,14779,1751.0,0.11847892279585899
Serbia,18602,2272.0,0.12213740458015267
Hungary,25947,3306.0,0.12741357382356341
Spain,213128,29661.0,0.1391698885176983
Czech Republic,52227,9452.0,0.1809791870105501
Ukraine,25107,5059.0,0.2014975903134584
Poland,102249,20614.0,0.20160588367612398
Croatia,15967,4554.0,0.2852132523329367
Romania,30260,9604.0,0.31738268341044285
Russian Federation,175836,58717.0,0.3339304806751746
